cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous
x,?,g,f,f,f,c,?,h,e,b,k,k,b,b,p,w,o,l,h,v,p,p
?,y,n,t,n,?,c,b,p,t,b,s,s,p,g,p,w,o,?,n,y,d,e
f,y,g,?,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,v,m,e
f,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,e
x,s,p,f,?,f,c,n,n,e,?,s,s,w,w,p,w,o,p,k,c,d,p
?,y,e,t,?,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,d,e
f,y,g,t,n,f,c,b,?,t,b,s,s,g,p,p,w,o,p,k,v,d,e
f,y,e,t,n,?,c,?,n,t,b,s,s,w,p,p,w,o,p,k,y,d,e
x,s,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,p
x,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,p,p
?,y,n,t,n,?,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,e
x,f,g,f,f,f,c,b,g,?,b,k,k,p,p,p,w,o,l,h,v,g,p
x,f,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,p
f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,e
f,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,v,d,e
f,y,g,?,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e
f,?,g,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,e
x,f,w,f,c,f,w,?,p,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,?,e
x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,?,p
f,?,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,e
f,y,n,t,n,f,c,b,?,t,b,?,s,p,g,p,w,o,n,n,?,d,e
x,?,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,v,d,p
f,y,g,t,n,f,c,b,n,?,?,s,s,w,g,p,w,?,l,n,y,d,e
x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,?,f,n,y,p,p
x,y,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e
x,y,g,f,f,f,c,b,p,e,b,k,?,b,b,p,w,o,l,h,y,?,p
f,y,e,t,?,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,y,d,e
x,f,p,f,c,f,c,n,p,e,b,s,s,w,?,p,w,o,p,n,s,d,p
x,f,g,f,f,?,c,?,p,e,b,k,k,p,c,p,w,o,l,h,v,p,p
f,f,e,f,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,e
f,?,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,t,p,k,y,d,e
x,f,g,f,c,f,c,n,u,e,?,s,s,w,w,p,w,o,p,n,s,d,p
x,f,g,f,f,f,c,b,n,e,b,k,k,n,p,p,w,o,l,h,v,g,p
f,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,y,d,e
x,f,g,f,f,f,c,b,p,e,b,f,k,n,b,p,?,o,l,h,v,d,p
f,f,e,t,n,f,c,b,w,?,b,s,s,p,p,p,w,o,p,k,v,d,e
f,y,n,t,?,f,c,b,u,t,b,s,s,b,p,p,w,o,p,k,v,d,e
f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d,p
f,y,e,t,n,f,c,b,?,t,b,s,s,w,w,?,w,o,p,k,y,d,e
f,y,e,t,n,?,?,b,p,t,b,s,s,w,w,p,w,o,p,k,v,d,e
f,y,n,t,s,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,e
x,f,n,t,n,f,c,b,w,?,b,s,s,g,p,p,w,o,p,k,v,d,e
f,y,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,p
f,y,g,t,n,f,w,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,e
f,f,e,t,n,f,c,b,w,?,b,s,s,p,w,p,w,o,p,k,y,d,e
f,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,n,v,d,e
x,y,g,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,e
x,y,n,t,n,f,c,?,w,t,b,s,s,g,w,p,w,o,?,k,?,d,e
x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,?,w,o,l,h,v,d,p
?,s,w,f,c,f,w,n,g,e,b,s,s,w,?,p,w,o,p,n,v,d,p
f,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,p,p
f,y,n,t,n,f,c,b,u,?,b,s,s,p,g,p,w,o,p,n,v,d,e
f,y,u,t,n,f,c,b,p,?,b,s,s,p,g,p,w,o,p,k,y,d,e
f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,e
f,f,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,y,y,p,e
f,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,?,n,v,w,e
f,y,n,t,n,a,c,b,?,t,b,s,s,?,g,p,w,o,p,?,y,d,e
f,y,e,t,n,f,c,b,n,t,b,s,s,w,?,p,w,o,p,k,v,d,e
x,y,g,f,f,f,c,b,h,e,b,s,k,n,n,p,w,o,l,h,y,g,p
f,y,e,t,n,?,?,b,w,t,b,s,?,p,p,p,w,o,p,n,y,d,e
f,y,n,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,e
x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,?,h,v,d,p
x,f,w,f,c,f,w,n,p,?,b,s,s,w,?,p,w,o,p,k,s,d,p
x,f,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,?,p,k,v,d,p
x,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,?,p,n,y,d,e
f,?,?,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,p,p
x,s,g,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e
f,y,?,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,e
f,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,k,v,d,e
x,f,y,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,p
f,y,n,t,f,f,c,b,u,t,b,s,s,g,g,?,w,o,p,n,v,d,e
f,f,e,t,n,f,c,b,w,t,b,s,s,?,w,p,w,o,p,n,v,d,e
f,y,e,t,n,f,c,b,u,?,b,s,s,?,w,p,w,o,p,n,v,d,e
x,f,y,f,f,f,c,b,b,e,b,k,k,p,p,p,w,t,l,h,v,p,p
x,f,g,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,f,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,e
x,s,g,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,s,d,p
x,f,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,p
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,p
f,y,g,?,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,v,d,e
f,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,e
f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,p
f,?,e,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,y,d,e
f,?,e,t,n,f,c,b,w,e,b,s,s,w,b,p,w,o,p,n,v,d,e
f,f,g,t,n,f,c,b,u,t,b,s,s,p,w,p,o,o,p,n,v,d,e
f,y,e,t,c,f,c,b,n,t,b,s,s,g,w,p,w,?,p,n,y,d,e
f,f,g,t,n,f,c,b,u,?,b,s,s,w,p,p,w,o,p,k,?,d,e
f,y,n,t,n,f,c,?,u,t,b,?,s,w,p,p,w,o,p,k,y,d,e
f,y,e,t,n,f,?,b,w,?,b,s,s,p,w,p,w,o,p,k,v,d,e
f,y,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,v,d,e
f,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,e
f,y,e,t,n,f,c,b,w,t,b,s,s,w,p,p,?,o,?,n,y,d,e
?,f,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,?,k,y,d,e
?,f,b,t,n,f,c,b,p,t,b,s,s,e,w,p,w,o,p,n,y,d,e
f,y,n,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,?,y,d,e
f,y,n,t,n,f,c,b,p,t,r,s,s,g,p,p,w,o,p,n,v,d,e
x,f,e,t,n,f,c,b,y,t,b,s,s,g,w,p,w,o,p,k,y,d,e
f,?,n,t,n,f,c,b,p,t,b,s,s,w,p,p,?,o,p,k,y,d,e
x,f,g,f,f,f,c,b,h,e,b,y,k,n,n,p,w,o,l,h,y,p,p
f,y,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,e
x,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,n,k,y,d,e
f,y,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,n,v,d,e
f,y,n,?,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,y,y,d,e
f,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,?,d,e
x,f,g,f,f,f,c,b,h,e,b,k,k,?,n,p,w,o,l,h,v,d,p
f,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,n,v,d,e
f,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,p
f,y,g,t,n,f,?,b,p,t,b,s,s,p,p,p,w,t,p,?,y,d,e
f,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,?,o,p,n,v,d,e
f,f,g,t,n,f,c,b,u,e,?,s,s,p,w,?,w,o,p,k,y,d,e
f,f,y,f,f,f,c,b,e,t,b,k,k,p,b,p,w,o,l,h,v,p,p
x,y,u,t,n,f,c,b,n,t,b,s,s,g,w,?,w,o,p,?,v,m,e
f,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d,e
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d,p
f,y,n,t,?,f,c,b,w,t,b,s,?,g,w,p,w,o,p,k,v,d,e
b,f,g,f,c,f,w,n,u,e,b,s,s,w,w,p,y,o,p,k,s,d,p
f,y,e,t,n,f,c,b,?,t,b,s,s,p,w,p,w,o,p,n,y,d,e
x,s,w,f,c,f,w,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,p
f,y,n,t,n,f,c,b,n,t,b,?,s,w,p,p,w,o,e,k,v,d,e
x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,y,?,t,n,?,c,b,p,?,b,s,s,p,p,p,w,o,p,n,?,d,e
f,f,g,t,n,f,c,b,u,t,b,s,y,w,g,p,w,o,p,n,n,d,e
f,f,e,t,n,f,c,b,p,t,?,s,s,p,w,p,w,o,p,?,y,d,e
f,y,e,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,e
x,s,g,f,c,f,c,?,p,e,b,s,s,w,w,p,w,o,p,k,s,d,p
f,y,?,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e
f,y,e,t,n,f,c,b,n,t,b,s,?,g,g,p,w,o,p,k,v,w,e
b,?,p,f,c,f,w,n,n,e,?,s,s,w,?,p,?,o,p,k,v,d,p
f,f,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,k,y,d,e
x,s,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,f,e,?,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,?,e
f,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g,p
f,y,g,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,e
x,?,g,f,f,f,c,b,h,e,b,s,k,n,p,p,w,?,l,h,?,g,p
f,y,n,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,v,d,e
f,y,e,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,e
f,y,n,t,n,f,c,b,u,t,?,s,s,?,p,p,w,t,p,k,v,d,e
x,s,p,f,c,f,w,n,g,e,b,s,?,w,w,p,w,o,p,k,s,d,p
x,y,g,?,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,p,p
f,f,e,t,n,f,w,b,p,t,b,s,?,g,p,p,w,o,p,n,v,d,e
f,f,g,t,n,f,c,n,w,t,b,s,?,w,w,?,w,o,p,?,v,d,e
f,y,g,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,e
f,y,e,t,?,f,c,b,p,t,b,s,s,g,w,p,w,o,p,n,y,d,e
?,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,e
x,f,g,t,n,f,c,b,?,t,b,s,s,w,p,p,w,o,p,?,y,d,e
x,f,g,f,f,f,c,b,g,e,b,k,k,n,p,?,w,o,l,?,y,d,p
x,y,n,t,n,f,c,b,u,t,?,f,s,g,p,p,w,?,p,n,y,d,e
f,y,e,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,y,?,e
?,f,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,e
x,f,w,f,c,f,c,?,n,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,y,e,t,n,?,c,b,p,?,?,s,s,g,b,p,?,o,p,k,y,d,e
?,?,g,t,?,f,c,b,?,t,b,s,s,w,w,p,w,o,p,n,?,d,e
x,f,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,p
f,y,g,f,?,f,c,b,n,e,b,s,s,p,?,p,w,o,p,n,y,d,e
?,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,p
?,f,?,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,?,v,d,e
x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,y,o,p,k,s,d,p
x,f,g,f,f,f,c,?,g,e,b,k,k,p,?,p,w,o,l,h,v,d,p
?,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,p
f,y,g,t,n,a,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,?,e
f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,?,o,p,n,v,d,e
f,y,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,?,e
f,y,?,t,n,f,c,?,p,t,b,s,s,?,g,p,w,o,p,k,y,d,e
x,f,g,f,f,f,c,b,h,e,b,?,?,b,n,p,w,?,l,?,v,p,p
f,f,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d,e
f,f,e,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,e
x,y,g,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g,p
f,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,e
x,f,g,f,?,f,w,n,p,e,b,s,s,w,w,p,w,n,p,n,s,d,p
f,y,g,t,n,f,c,?,u,t,?,s,s,g,w,p,w,o,p,k,y,d,e
f,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,?,y,d,e
f,?,e,t,n,f,c,b,n,t,b,s,s,p,w,p,n,o,p,n,y,d,e
?,y,g,t,n,f,c,b,w,?,b,s,s,w,p,p,w,o,p,k,y,d,e
x,f,e,t,n,f,c,b,n,t,b,?,s,w,w,p,w,o,p,n,y,d,e
f,y,g,t,s,f,c,b,b,t,b,s,?,p,w,p,?,o,p,k,y,d,e
x,?,p,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,p
f,?,n,t,l,f,c,b,u,t,b,s,s,?,p,p,w,o,p,n,v,d,e
x,f,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,e,h,y,g,p
?,y,e,t,n,f,c,b,n,t,b,s,s,e,p,p,w,o,p,k,v,d,e
f,y,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,v,d,e
f,f,e,t,n,f,?,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,e
x,s,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,?,p,n,v,d,p
x,f,w,t,?,f,w,n,n,e,b,s,s,w,w,p,w,o,p,n,v,d,p
x,y,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,?,n,v,d,e
x,f,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d,e
f,y,e,t,n,f,c,?,w,t,b,s,s,g,p,p,?,?,p,k,y,d,e
x,y,g,t,n,f,c,b,u,t,b,s,s,g,p,p,y,o,p,n,y,?,e
x,f,g,?,f,f,c,?,p,e,b,k,k,n,p,p,?,o,l,h,v,d,p
x,f,w,f,c,f,w,n,r,e,?,s,s,w,w,p,w,o,p,k,v,d,p
f,y,n,t,n,f,w,b,w,t,?,s,s,w,w,p,w,o,p,k,y,d,e
f,f,e,t,n,f,c,?,w,t,b,s,s,g,g,p,w,o,p,k,v,d,e
x,f,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,k,a,d,p
x,g,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,k,s,d,p
x,y,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,e
x,f,g,f,f,f,c,b,h,e,?,?,f,b,?,p,w,o,l,h,v,d,p
x,f,g,f,c,f,c,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,p
x,f,g,f,?,f,c,b,h,e,b,k,k,n,p,p,w,o,p,?,v,d,p
x,s,g,f,c,f,?,n,n,e,b,s,s,w,w,p,w,o,p,n,y,d,p
x,f,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,v,d,e
c,f,r,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,p
f,f,e,t,n,f,?,b,p,t,b,s,s,g,?,p,w,o,p,n,v,d,e
c,s,?,f,c,f,?,n,n,e,b,s,s,w,w,p,?,o,?,k,v,d,p
x,f,g,f,c,a,w,n,p,e,b,s,s,o,w,p,w,o,p,h,?,d,p
f,y,e,t,n,f,c,b,p,t,b,s,s,g,g,p,y,o,p,k,y,d,e
x,f,g,f,c,f,c,n,n,e,?,s,s,w,w,p,w,o,p,k,s,d,p
x,s,g,f,c,f,w,n,n,e,b,s,s,w,c,p,w,o,p,k,?,d,p
f,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,e
f,y,?,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,?,n,y,?,e
x,f,g,f,c,f,w,?,g,e,b,s,s,w,w,p,w,o,p,n,s,d,p
f,f,e,t,a,f,c,b,p,t,b,s,?,w,g,p,w,o,p,k,v,d,e
x,s,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,p
f,y,?,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,e
x,f,g,f,f,f,c,b,?,e,b,k,k,n,b,p,w,o,l,h,v,d,p
f,y,g,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g,p
f,y,g,t,n,f,c,b,n,t,b,s,s,p,g,?,?,o,p,k,v,?,e
x,f,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,?,h,v,?,p
?,y,g,?,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,?,v,d,e
?,f,g,f,f,f,?,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g,p
f,f,g,f,f,f,c,b,p,?,b,k,k,n,p,p,w,?,l,h,y,p,p
f,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,k,v,d,e
f,f,g,t,n,f,c,b,w,?,b,s,s,g,g,p,w,o,p,k,v,d,e
x,f,w,f,c,?,c,n,?,e,b,s,s,w,w,p,w,o,p,n,v,d,p
f,f,g,t,n,f,c,?,n,t,b,s,s,w,w,?,w,o,p,n,y,d,e
x,f,?,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,p
x,y,y,f,f,?,?,b,?,e,b,k,k,n,b,p,w,o,l,h,v,d,p
f,y,g,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p,p
x,f,?,f,f,?,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,p
x,f,?,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,n,v,d,p
x,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,?,o,l,h,y,d,p
x,y,y,f,?,f,c,b,g,e,b,k,k,b,p,p,w,o,l,?,?,d,p
x,f,y,f,f,?,c,b,h,e,b,k,?,w,?,p,w,o,l,h,v,p,p
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,?,d,p
f,f,y,f,f,f,c,?,g,e,b,k,k,n,n,p,w,o,l,h,y,d,p
f,y,g,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,k,y,d,e
x,y,g,?,f,f,c,b,g,e,b,k,k,e,n,p,w,o,l,?,y,g,p
?,f,?,?,?,f,w,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p,p
f,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g,p
x,f,g,f,n,f,c,b,w,t,b,s,?,w,w,p,w,o,p,k,y,d,e
f,y,n,t,n,f,c,b,n,t,b,s,s,w,g,p,w,o,p,n,v,d,e
f,y,e,t,n,f,c,b,n,t,b,s,s,w,?,p,?,o,p,n,v,d,e
x,y,y,f,f,f,c,b,h,e,b,?,k,n,p,p,w,o,l,h,v,g,p
f,y,g,f,f,f,?,b,g,t,b,?,k,?,b,p,?,o,?,h,v,g,p
f,y,?,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d,p
f,f,e,t,n,f,c,?,w,t,b,s,s,p,w,p,w,o,p,k,y,d,e
f,y,g,f,f,f,c,b,p,e,b,k,f,n,b,p,w,o,l,h,v,g,p
f,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,e
?,f,g,?,n,f,c,b,p,t,b,s,s,g,w,p,w,o,e,k,v,d,e
f,f,g,t,n,f,c,b,w,t,b,s,s,g,p,p,?,o,p,n,v,d,e
x,f,g,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,p
x,y,w,f,f,?,c,b,p,e,b,k,k,b,b,p,w,o,l,?,y,g,p
f,f,y,f,f,f,?,b,h,e,b,k,k,b,n,p,w,o,l,b,y,g,p
f,y,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,?,n,v,d,e
x,f,y,f,f,f,c,b,?,e,b,k,k,p,n,p,w,o,l,h,y,d,p
f,y,g,f,f,f,w,b,h,e,b,k,k,p,b,p,w,o,l,h,y,p,p
f,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,r,v,g,p
f,y,y,f,?,f,?,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,p
x,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,p
f,f,y,f,f,f,w,b,h,e,r,k,k,b,b,p,w,o,l,h,v,p,p
x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,t,p,n,s,d,p
x,y,y,f,f,f,c,?,p,e,b,?,y,n,n,?,w,n,l,h,v,g,p
f,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,e
f,y,e,t,n,f,c,b,n,t,b,?,s,g,p,p,w,o,p,?,y,d,e
x,f,p,f,c,f,c,n,?,e,b,s,s,w,w,p,w,o,p,n,v,d,p
x,f,y,?,f,f,c,b,h,e,b,k,?,b,b,p,w,o,l,h,v,g,p
f,?,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,p
x,y,g,t,n,f,c,b,?,t,b,s,s,?,p,p,w,o,p,?,y,d,e
f,f,e,t,n,f,c,b,p,?,b,s,s,w,g,p,w,o,p,n,y,d,e
f,y,g,f,f,f,c,b,p,e,b,f,k,b,b,p,w,o,?,?,?,d,p
f,y,g,t,n,f,c,b,u,t,b,?,?,w,g,p,w,o,p,n,v,d,e
x,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,p
f,y,g,?,f,f,c,n,g,e,b,k,k,n,n,?,w,o,l,h,y,g,p
f,f,e,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,?,v,d,e
x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,?,p
f,f,y,f,?,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g,p
x,y,y,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,g,p
f,f,g,f,f,f,c,b,g,e,b,k,?,p,b,p,w,t,l,h,y,g,p
x,s,p,f,c,f,?,n,n,e,b,s,s,w,w,p,w,o,p,n,s,d,p
x,f,g,f,y,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,p
x,?,u,f,?,f,c,b,g,?,b,k,k,b,p,p,w,?,l,h,v,p,p
?,y,y,f,f,a,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,p
f,f,g,f,?,f,?,b,n,e,b,k,k,p,n,p,w,o,l,h,v,d,p
f,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,e
x,s,g,t,?,f,c,?,w,t,b,f,s,w,w,p,w,o,p,h,v,u,p
x,y,y,f,f,f,c,b,?,e,b,k,k,p,b,p,w,o,l,h,y,d,p
f,f,g,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,e
f,f,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,d,p
x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,?,l,h,y,p,p
f,f,y,f,f,f,c,b,g,e,b,?,k,b,b,p,w,o,l,h,v,p,p
x,y,g,f,f,f,c,b,?,e,b,k,k,b,n,p,w,o,l,h,y,g,p
f,y,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,g,p
f,y,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p,p
x,f,y,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,p,p
x,s,w,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,?,k,v,d,p
x,?,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,p,p
?,f,g,f,f,f,c,b,p,e,b,k,k,b,?,p,w,o,?,h,y,p,p
f,y,n,t,n,f,c,b,u,t,b,s,s,p,p,p,w,o,p,n,v,d,e
f,f,g,t,n,f,c,b,w,t,b,f,s,p,w,p,w,o,f,k,v,d,e
x,f,y,f,f,f,c,b,g,e,b,?,k,b,b,p,w,n,l,h,y,p,p
x,s,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,s,d,p
